Model,Condition,Threshold,Recall,Precision,F1,TP,FN,FP,TN,Clean Recall,Recall Drop,Envelope Met
Pedestrian,Brightness S3,0.5,0.0084985835694051,0.8571428571428571,0.01683029453015428,6,700,1,2893,0.509915014164306,0.5014164305949008,False
Pedestrian,Brightness S3,0.6,0.0028328611898017,1.0,0.005649717514124295,2,704,0,2894,0.45609065155807366,0.45325779036827196,False
Pedestrian,Brightness S3,0.7,0.00141643059490085,1.0,0.002828854314002829,1,705,0,2894,0.4093484419263456,0.40793201133144474,False
Pedestrian,Brightness S3,0.8,0.00141643059490085,1.0,0.002828854314002829,1,705,0,2894,0.35410764872521244,0.35269121813031157,False
Pedestrian,Brightness S3,0.9,0.0,0.0,0.0,0,706,0,2894,0.2776203966005666,0.2776203966005666,False
Pedestrian,Contrast S1,0.01,0.9801699716713881,0.2088111044055522,0.34427860696517415,692,14,2622,272,0.9815864022662889,0.0014164305949008194,True
Pedestrian,Contrast S1,0.05,0.8852691218130312,0.23891437308868502,0.37627934978928357,625,81,1991,903,0.9050991501416431,0.019830028328611915,True
Pedestrian,Contrast S1,0.1,0.8144475920679887,0.26400367309458217,0.39875173370319,575,131,1603,1291,0.8512747875354107,0.03682719546742208,True
Pedestrian,Contrast S1,0.2,0.6784702549575071,0.3086340206185567,0.4242692648361382,479,227,1073,1821,0.7252124645892352,0.04674220963172804,True
Pedestrian,Contrast S1,0.3,0.56657223796034,0.32441200324412,0.41258380608561107,400,306,833,2061,0.6430594900849859,0.07648725212464591,True
Pedestrian,Contrast S1,0.4,0.49575070821529743,0.35714285714285715,0.41518386714116245,350,356,630,2264,0.5835694050991501,0.08781869688385269,True
Pedestrian,Contrast S1,0.5,0.43059490084985835,0.4021164021164021,0.41586867305061553,304,402,452,2442,0.509915014164306,0.0793201133144476,True
Pedestrian,Contrast S1,0.6,0.38243626062322944,0.4433497536945813,0.4106463878326996,270,436,339,2555,0.45609065155807366,0.07365439093484422,True
Pedestrian,Contrast S1,0.7,0.3271954674220963,0.48326359832635984,0.3902027027027027,231,475,247,2647,0.4093484419263456,0.0821529745042493,True
Pedestrian,Contrast S1,0.8,0.26770538243626063,0.532394366197183,0.35626767200754006,189,517,166,2728,0.35410764872521244,0.08640226628895181,True
Pedestrian,Contrast S1,0.9,0.21813031161473087,0.6416666666666667,0.32558139534883723,154,552,86,2808,0.2776203966005666,0.05949008498583572,True
Pedestrian,Contrast S2,0.01,0.9603399433427762,0.20335932813437313,0.33564356435643566,678,28,2656,238,0.9815864022662889,0.021246458923512734,True
Pedestrian,Contrast S2,0.05,0.7549575070821529,0.2612745098039216,0.38820101966496723,533,173,1507,1387,0.9050991501416431,0.15014164305949018,False
Pedestrian,Contrast S2,0.1,0.5580736543909348,0.3016845329249617,0.3916500994035785,394,312,912,1982,0.8512747875354107,0.29320113314447593,False
Pedestrian,Contrast S2,0.2,0.3881019830028329,0.4157814871016692,0.4014652014652015,274,432,385,2509,0.7252124645892352,0.3371104815864023,False
Pedestrian,Contrast S2,0.3,0.29036827195467424,0.5099502487562189,0.3700361010830324,205,501,197,2697,0.6430594900849859,0.3526912181303116,False
